dis	rel	gene
C0338715	disease_gene	PLA2G1B
C1854494	disease_gene	GJB1
C4021768	disease_gene	HBA1
C0041696	disease_gene	PROK2
C1317785	disease_gene	DHCR7
C1740801	disease_gene	SLC6A5
C0424688	disease_gene	AP4E1
C0011581	disease_gene	MAPK8
C0016506	disease_gene	WISP3
C0525045	disease_gene	TBX1
C1864897	disease_gene	ARG1
C1856266	disease_gene	FGFR2
C0919267	disease_gene	CHMP4C
C0023380	disease_gene	FOXRED1
C0030297	disease_gene	ABO
C4025586	disease_gene	ETFDH
C4280503	disease_gene	LDLRAP1
C4024809	disease_gene	KIF11
C0240340	disease_gene	GTF2IRD1
C3714756	disease_gene	DPYS
C4277682	disease_gene	MIR10A
C0423903	disease_gene	COG5
C0554972	disease_gene	SALL1
C3489393	disease_gene	TNXB
C0005695	disease_gene	ERCC4
C1848736	disease_gene	DCAF8
C0040479	disease_gene	SNTA1
C0554972	disease_gene	KCNJ1
C1835229	disease_gene	NAGA
C0427055	disease_gene	POMT2
C0014544	disease_gene	SURF1
C0015230	disease_gene	HLCS
C1843367	disease_gene	FANCA
C0234860	disease_gene	FKTN
C0266625	disease_gene	KDM6A
C0019209	disease_gene	KCNJ11
C0002170	disease_gene	SUPV3L1
C2937365	disease_gene	MEFV
C0027092	disease_gene	VCAN
C0013491	disease_gene	KRT14
C0349588	disease_gene	CLCN7
C0004352	disease_gene	HTR3C
C4021550	disease_gene	AR
